RAJ2000,DEJ2000,Ktmag,cz
23.21629,-7.03156,7.962,1872
154.60374,21.89397,7.967,1399
162.81761,27.97500,7.972,1414
88.04749,-7.45620,8.012,2410
330.53522,-31.98982,8.002,2502
328.17700,-48.25390,7.951,1939
124.74310,57.80309,8.023,1039
192.51636,-41.38203,7.971,4661
13.17652,-31.20583,7.990,1629
181.53584,49.58231,8.026,1074
178.20605,44.12073,7.801,809
187.26254,13.18385,8.006,1931
45.89479,46.38635,7.988,2387
350.06049,8.20626,8.004,3762
190.92764,16.39338,8.020,788
284.12366,-54.30577,8.042,2659
86.75787,-34.25060,8.038,883
66.90880,-55.02779,8.047,1510
141.07729,34.51338,8.032,1687
147.53401,-73.92220,7.872,1220
184.37358,37.80711,7.717,244
229.55650,-24.09793,8.017,2120
119.56254,-49.85141,7.945,1119
29.92765,-5.96419,8.055,1362
49.18761,80.79332,8.038,2342
142.11032,-60.80177,8.074,2281
350.17722,8.21700,8.007,3405
95.23224,-8.49562,8.019,732
288.81738,-54.13249,8.124,2847
156.96364,-43.90382,8.058,2836
67.91609,-5.08612,8.026,4681
209.47607,-29.31573,8.001,2625
54.19257,-35.99924,8.062,907
296.31311,-54.34414,8.091,2522
187.36670,8.75016,8.030,588
91.42652,-86.63202,8.091,1867
95.46039,0.36621,8.085,2733
179.71759,42.72241,8.116,703
74.23473,-4.86575,8.073,3891
150.17017,-31.66449,8.051,2582
186.44508,12.66207,7.992,2524
192.53069,72.87448,8.017,1623
184.11385,-43.32426,8.046,1999
63.65226,-56.06081,8.048,1238
189.91455,-5.34421,7.976,2698
169.24567,18.14860,8.089,1253
229.65219,-24.06859,8.045,2565
11.78564,-20.76040,7.424,156
214.60713,36.49362,8.078,3213
56.61356,-3.96879,8.082,3909
150.05891,-19.63644,8.079,3964
149.78607,-34.22523,8.095,2592
70.36762,-2.85804,7.960,820
207.27213,-30.29586,8.034,4517
53.01260,-20.81916,8.097,1545
190.88559,11.58247,8.040,1395
224.85045,-16.62399,8.109,2863
