Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"A376",41.375920833333325,36.73293444444444,14907,24,11.4,1
"A376",41.411316666666664,36.76632055555555,14430,34,7.0,1
"A376",41.370795833333325,36.82080944444444,9500,20,5.5,0
"A376",41.189654166666664,36.74816666666666,14756,15,6.9,1
"A376",41.22455833333333,36.79243666666666,14480,18,15.1,1
"A376",41.21225833333333,36.87422055555555,40201,35,6.0,0
"A376",41.29931666666666,36.87904638888888,13130,27,3.1,1
"A376",41.47557499999999,36.83302638888888,15874,40,7.0,1
"A376",41.483845833333326,36.859289999999994,13950,68,3.9,1
"A376",41.55403333333333,36.86935999999999,13630,7,16.3,1
"A376",41.536962499999994,36.90608166666666,15194,56,5.9,1
"A376",41.51642916666666,36.905246111111104,14541,37,8.7,1
"A376",41.45470833333333,36.86362,13689,35,7.1,1
"A376",41.42711249999999,36.87566055555555,13145,107,3.1,1
"A376",41.45712916666666,36.91572916666666,12616,29,8.5,1
"A376",41.469649999999994,36.940684722222215,13817,52,4.5,1
"A376",41.4803125,36.95275333333333,14025,31,9.7,1
"A376",41.586570833333326,36.913084444444436,13818,19,15.8,1
"A376",41.58614166666666,36.921053333333326,14026,33,8.9,1
"A376",41.55643333333333,36.932670277777774,14621,40,7.6,1
"A376",41.624224999999996,36.97687416666666,15848,51,5.6,1
"A376",41.52909999999999,37.019455833333325,13202,38,6.2,1
"A376",41.56674166666666,37.03740805555555,14603,39,7.3,1
"A376",41.40190416666666,36.90592555555555,14651,83,3.4,1
"A376",41.354437499999996,36.93460916666666,14462,61,6.6,1
"A376",41.40732083333333,36.95878027777777,12214,143,3.0,1
"A376",41.400349999999996,36.97188638888888,16035,63,7.2,1
"A376",41.45569166666666,36.985168888888886,13645,16,19.8,1
"A376",41.367149999999995,36.9571311111111,14101,21,13.2,1
"A376",41.33387916666666,36.98329777777777,29973,73,4.7,0
"A376",41.399445833333324,36.996381388888885,13571,26,9.8,1
"A376",41.479208333333325,37.02734194444444,14320,42,6.5,1
"A376",41.424658333333326,37.10138305555555,9365,41,8.1,0
"A376",41.740308333333324,36.933613611111106,14702,25,10.7,1
"A376",41.708208333333324,36.97902111111111,14723,21,13.7,1
"A376",41.70602916666666,36.984985277777774,13550,33,7.7,1
"A376",41.73994166666666,37.019659999999995,16067,34,8.6,1
"A376",41.734758333333325,37.05049611111111,16152,21,5.6,1
"A376",41.61238333333333,37.07108861111111,15272,54,6.7,1
"A376",41.64653333333333,37.10298805555555,14461,33,8.2,1
"A376",41.642354166666664,37.14554555555555,15745,24,11.8,1
"A376",41.69350416666666,37.145091388888886,15814,44,6.4,1
"A376",41.540637499999995,37.16045666666666,12768,27,10.4,1
"A376",41.50604166666666,37.178495,63514,38,6.4,0
"A376",41.581708333333324,37.182582222222216,15145,51,4.3,1
"A376",41.108795833333325,36.8377,63381,25,6.6,0
"A376",41.08622916666666,36.89893055555555,29840,32,7.4,0
"A376",41.07295416666666,36.91274083333333,5009,10,11.1,0
"A376",41.20818333333333,36.91855527777777,13182,28,10.1,1
"A376",41.22295416666666,36.97140333333333,14557,20,18.0,1
"A376",41.29151666666666,36.976285,13632,67,4.4,1
"A376",41.095183333333324,36.94315972222222,50696,39,10.5,0
"A376",41.09256666666666,36.96449638888888,65549,81,4.4,0
"A376",41.29332916666666,37.01467999999999,13400,29,9.1,1
"A376",41.290212499999996,37.095367777777774,13683,20,12.6,1
"A376",41.465891666666664,37.16254055555555,19275,12,11.4,0
"RX0058",14.856962499999998,26.600397777777776,33521,54,6.2,0
"RX0058",14.926370833333332,26.650783055555554,14145,45,5.1,1
"RX0058",14.754795833333331,26.745847499999996,51060,19,8.0,0
"RX0058",14.857349999999999,26.80019472222222,14841,43,8.2,1
"RX0058",14.818533333333331,26.867128888888885,14856,25,11.3,1
"RX0058",14.886649999999998,26.83000305555555,13875,34,2.7,1
"RX0058",14.871599999999997,26.92502972222222,14833,43,5.8,1
"RX0058",14.797520833333332,26.97009972222222,14517,99,3.1,1
"RX0058",14.567666666666664,26.815397499999996,13737,17,15.0,1
"RX0058",14.542062499999998,26.840606944444442,14329,31,8.1,1
"RX0058",14.531162499999999,26.876840277777774,14351,87,2.9,1
"RX0058",14.584374999999998,26.893304166666663,13809,27,13.6,1
"RX0058",14.618470833333332,26.895010277777775,15523,35,8.9,1
