09 25 00.74 +14 13 50.02 40109  45 1 1
09 25 04.98 +14 00 25.13 42097  48 1 1
09 25 08.35 +14 31 05.48 41677  48 1 1
09 25 10.15 +14 26 18.17 41668  51 1 1
09 25 10.76 +14 23 02.54 40355  48 1 1
09 25 11.50 +14 03 30.28 40385  42 1 1
09 25 22.88 +14 04 35.72 40823  42 1 1
09 25 25.86 +14 23 49.06 41503  51 1 1
09 25 33.73 +13 57 05.54 41929  54 1 1
09 52 44.61 +51 53 42.58 64149  39 1 1
09 52 49.17 +51 53 05.10 64494  54 1 1
09 53 01.35 +51 52 25.28 62851  54 1 1
09 53 06.05 +51 49 18.34 65196  60 1 1
09 54 09.19 +51 46 34.86 64893  48 1 1
10 15 35.12 +38 38 41.78 61265  51 1 1
10 15 42.42 +38 38 37.03 61733  60 1 1
10 16 11.14 +38 49 24.38 62021  36 1 1
10 16 33.80 +38 46 08.54 60702  57 1 1
10 16 38.46 +38 49 38.10 61125  45 1 1
10 16 40.94 +38 54 49.57 60099  54 1 1
10 16 58.73 +38 50 02.18 60699  48 1 1
10 17 03.40 +38 45 09.36 60207  51 1 1
10 17 03.64 +39 02 49.42 61634  63 1 1
10 17 03.69 +39 16 18.23 62198  48 1 1
10 17 07.36 +39 03 38.12 61595  60 1 1
10 17 22.02 +39 04 39.68 59098  57 1 1
10 17 22.18 +39 00 06.70 59485  51 1 1
10 17 43.25 +39 32 55.46 61068  57 1 1
10 17 52.15 +38 38 15.36 61829  48 1 1
10 17 56.19 +39 09 21.02 60078  57 1 1
10 19 03.75 +38 45 35.24 61886  54 1 1
10 19 31.77 +50 11 29.51 46831  51 1 1
10 19 32.69 +49 58 51.78 46468  48 1 1
10 21 09.57 +50 04 55.74 45862  51 1 1
10 21 32.41 +50 00 15.84 47337  39 1 1
10 21 40.37 +50 07 57.76 47727  48 1 1
10 21 41.96 +50 34 46.27 46642  45 1 1
10 21 43.25 +50 05 28.64 47736  60 1 1
10 21 55.95 +50 03 24.66 46474  15 1 1
10 22 04.85 +50 04 32.56 47976  51 1 1
10 22 21.24 +50 03 41.26 45415  48 1 1
10 22 23.58 +49 07 40.51 42534  45 1 1
10 22 24.87 +50 11 20.36 46510  57 1 1
10 22 25.98 +50 07 11.42 45703  51 1 1
10 22 27.91 +50 10 09.30 48539  42 1 1
10 22 29.00 +50 06 13.82 47571  51 1 1
10 22 30.22 +50 04 45.52 46732  51 1 1
10 22 32.86 +50 08 55.97 48207  51 1 1
